,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,sitka,57.05,-135.33,53.6,81,75,3.2,US,1598722385
1,faanui,-16.48,-151.75,77.27,81,37,26.22,PF,1598722054
2,thohoyandou,-22.95,30.48,81.9,19,15,3.62,ZA,1598722562
3,bubaque,11.28,-15.83,78.8,86,100,18.79,GW,1598722383
4,puerto ayora,-0.74,-90.35,73.4,69,20,19.46,EC,1598722347
5,cap malheureux,-19.98,57.61,70.0,77,9,5.99,MU,1598722371
6,kysyl-syr,63.9,122.76,53.11,94,100,6.38,RU,1598722563
7,busselton,-33.65,115.33,42.01,69,5,7.16,AU,1598722344
8,mataura,-46.19,168.86,48.61,82,100,7.0,NZ,1598722344
9,bengkulu,-3.8,102.27,76.53,87,86,4.36,ID,1598722395
10,rikitea,-23.12,-134.97,69.87,66,92,6.46,PF,1598722344
11,thompson,55.74,-97.86,53.6,76,75,2.24,CA,1598722409
12,axim,4.87,-2.24,75.87,83,31,11.01,GH,1598722564
13,tezu,27.92,96.17,77.11,77,80,2.84,IN,1598722356
14,kichmengskiy gorodok,59.98,45.79,58.19,90,99,1.03,RU,1598722564
15,kruisfontein,-34.0,24.73,46.99,70,25,5.01,ZA,1598722324
16,qaqortoq,60.72,-46.03,62.6,29,40,21.92,GL,1598722564
17,victoria,22.29,114.16,86.0,70,20,2.24,HK,1598722261
18,bredasdorp,-34.53,20.04,44.6,87,70,6.93,ZA,1598722341
19,qaanaaq,77.48,-69.36,40.14,69,0,2.48,GL,1598722343
20,narsaq,60.92,-46.05,62.6,29,40,21.92,GL,1598722346
21,bethel,41.37,-73.41,75.2,88,90,6.93,US,1598722358
22,ilulissat,69.22,-51.1,48.2,63,75,3.36,GL,1598722347
23,mokhsogollokh,61.47,128.92,57.24,52,100,6.85,RU,1598722565
24,sao filipe,14.9,-24.5,81.09,76,89,5.3,CV,1598722352
25,torbay,47.67,-52.73,66.99,55,75,21.92,CA,1598722365
26,east london,-33.02,27.91,55.4,62,45,25.28,ZA,1598722352
27,jamestown,42.1,-79.24,75.0,78,75,17.22,US,1598722355
28,avarua,-21.21,-159.78,71.6,83,2,11.41,CK,1598722341
29,mar del plata,-38.0,-57.56,50.0,53,75,16.11,AR,1598722117
30,zuenoula,7.43,-6.04,76.33,90,52,6.06,CI,1598722566
31,veraval,20.9,70.37,79.59,89,100,13.27,IN,1598722567
32,sinjai,-5.12,120.25,74.12,88,78,1.66,ID,1598722525
33,roma,43.21,-75.46,80.01,74,1,6.93,US,1598722426
34,lompoc,34.64,-120.46,60.8,82,90,3.36,US,1598722260
35,luwuk,-0.95,122.79,77.11,78,94,6.8,ID,1598722567
36,bluff,-46.6,168.33,52.47,79,96,31.54,NZ,1598722342
37,saint-pierre,-21.34,55.48,71.6,73,20,12.75,RE,1598722528
38,penzance,50.12,-5.54,57.99,66,20,19.46,GB,1598722126
39,arraial do cabo,-22.97,-42.03,82.4,65,0,18.34,BR,1598722342
40,beringovskiy,63.05,179.32,50.29,88,100,18.88,RU,1598722386
41,nikolskoye,59.7,30.79,59.0,82,75,6.71,RU,1598722355
42,atuona,-9.8,-139.03,79.16,76,11,19.57,PF,1598722266
43,ous,60.91,61.52,60.12,95,99,7.34,RU,1598722568
44,saint-philippe,-21.36,55.77,71.6,73,20,12.75,RE,1598722368
45,khatanga,71.97,102.5,49.78,73,82,7.9,RU,1598722387
